Question,Answer
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the bank behind the cribwall at site 4 has a scour more than _ in length.",50m
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the implementation of site 4 is scheduled for _, pending available resources.",2019
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the estimated cost for permits and approvals for this project is _.","$3,300.00"
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the _ is working in partnership with york region to undertake sanitary infrastructure protection works at german mills settlers park.",Toronto and Region Conservation Authority (TRCA)
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the _ identified and monitored several at-risk sanitary sites along german mills creek since 2012.",Infrastructure Hazard Monitoring Program (IHMP)
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, a total of _ sites were ranked in terms of priority and are in the planning stages of sanitary infrastructure protection.",Seven
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the remedial bank stabilization works at site 1 include a _ round stone revetment.",110 m
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the implementation of sites 2 and 3 works is anticipated for _.",Summer 2020
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the clean water and wastewater fund (cwwf) contributed _ for implementation at site 1 and studies at sites 2 – 4.","$450,000.00"
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the project area covers a _ linear meter stretch of german mills creek running north-south between john street and steeles avenue east.",1400
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the bank behind the cribwall at site 4 has a scour more than _ in length.",50m
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the implementation of site 4 is scheduled for _, pending available resources.",2019
"In the context of Workplan for infrastructure protection at German Mills Settlers Park, the estimated cost for permits and approvals for this project is _.","$3,300.00"
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the consulting firm _ was retained to develop conceptual designs for slope stabilization behind 21, 23, and 25 peacham crescent.",Terraprobe Inc.
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the study area consists of an approximately _-meter-long section of a valley slope associated with a tributary of black creek.",52
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, following the severe weather event on _, trca was informed about slumping and slope instability behind three residential properties.","July 8, 2013"
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the long term stable slope crest (ltssc) was estimated based on a factor of safety (fos) of _, as requested by trca.",1.3
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the _ option consists of leaving the slope in its current state without taking any remedial actions.",Do Nothing
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, in the cut-back and revegetate option, the slope would be regraded to a stable inclination of _ h:1 v.",1.8
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the _ stabilization method involves constructing a vegetated slope system with reinforced fill, geogrid, and flex mse bags and plates.",Flex MSE Vegetated Slope
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the flex mse vegetated wall system consists of a tiered wall with an upper wall of _ meters and a lower wall of _ meters in height.",1 to 2; 2 to 2.5
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, the estimated hazard limit for slope recession extends _ meters into the backyard space behind the dwellings.",2.5 to 6
"In the context of Conceptual design alternatives for slope stabilization at Peacham Crescent, one of the primary causes of slope instability at the site was the presence of _ at the slope crest and upper portion of the slope.",Uncontrolled/un-engineered earth fill
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the toronto and region conservation authority (trca) is undertaking the peacham crescent _ and slope stabilization project to mitigate erosion risks.",Erosion control
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the peacham crescent slope stabilization project follows the class environmental assessment (ea) for remedial flood and erosion control projects, amended in _.",2013
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the primary objectives of the project include risk mitigation, naturalization, and _ with existing infrastructure.",Compatibility
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, concerns regarding slope instability behind peacham crescent were first identified after the _ severe storm event.","July 8, 2013"
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the _ was completed in 2015 by cole engineering group ltd. to determine the extent of slope instability.",Slope Stability and Erosion Risk Assessment (SS&ERA)
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the class ea for the peacham crescent project was officially initiated on _, with the publication of a notice of intent.","November 22, 2018"
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the preferred slope stabilization solution determined through the ea process was the construction of a _ structure along the upper slope.",Mechanically Stabilized Earth (MSE)
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, trca’s _ program supports proactive prevention and management of erosion hazards on public and private property.",Erosion Risk Management (ERMP)
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, the project site includes three residential properties located at _, 23, and 25 peacham crescent in toronto.",21
"In the context of Class Environmental Assessment for slope stabilization at Peacham Crescent, following the class ea review, trca intends to finalize the detailed design and obtain necessary _ before implementation.",Approvals
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the german mills settlers park sanitary infrastructure protection project focuses on sites _.",2 and 3
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the project is being carried out in _, within the city of markham.",York Region
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the project is funded through the york integrated infrastructure protection works program, with a total york region levy of _.","$72,000"
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the _ monitoring program has been tracking sanitary infrastructure risk along german mills creek since 2011.",Infrastructure Hazard
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the preferred alternative identified for addressing risks was _, which was determined through a municipal class environmental assessment (mcea) in 2018.",Channel Realignment with Pedestrian Bridge Extension
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, a major storm event in _ accelerated erosion at site i-152, leading to emergency stabilization works.",2018
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, trca retained _ in 2019 to develop detailed designs for sites 2 and 3.",Greck & Associates
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, construction is tentatively scheduled to commence in _ to minimize disruption to trail users and comply with the warmwater fisheries timing window.",September 2022
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the _ application process will be completed in spring 2021 to ensure compliance with environmental regulations.",Fisheries Act Authorization (FAA)
"In the context of Sanitary infrastructure protection at German Mills Settlers Park, the estimated cost for permits and approvals for the project is _.","$38,300"
"In the context of Project brief for slope stabilization and erosion control, the _ is responsible for the german mills settlers park sanitary infrastructure protection project.",Toronto and Region Conservation Authority (TRCA)
"In the context of Project brief for slope stabilization and erosion control, the main purpose of the project is to prevent exposure of the _ within german mills creek.",Leslie Collector sewer
"In the context of Project brief for slope stabilization and erosion control, the project includes a _ to protect the sanitary sewer and adjacent infrastructure.",Major channel realignment
"In the context of Project brief for slope stabilization and erosion control, the project aims to address three high-priority hazard sites, identified as _.","I-152, P-060, P-068"
"In the context of Project brief for slope stabilization and erosion control, a new _ will replace the existing trail crossing to prevent the south abutment from being outflanked.",30-meter free-span bridge
"In the context of Project brief for slope stabilization and erosion control, the _ permit application for the project was submitted in january 2021.",Fisheries Act Authorization (FAA)
"In the context of Project brief for slope stabilization and erosion control, to compensate for tree removals, a total of _ trees will be planted.",92
"In the context of Project brief for slope stabilization and erosion control, to compensate for tree removals, a total of _ shrubs will be planted.",2291
"In the context of Project brief for slope stabilization and erosion control, construction is tentatively scheduled to begin in _, pending approval and funding.",September 2022
"In the context of Project brief for slope stabilization and erosion control, the site will be inspected _ for the first year after construction and following major storm events.",Monthly
"In the context of Project brief for slope stabilization and erosion control, all machinery will be refueled at least _ meters away from the watercourse to prevent contamination.",30
"In the context of Final project brief for Peacham Crescent slope stabilization, the _ has proposed remedial slope stabilization works behind 21, 23, 25, and 27 peacham crescent.",Toronto and Region Conservation Authority (TRCA)
"In the context of Final project brief for Peacham Crescent slope stabilization, the peacham crescent slope stabilization project is located within the _ watershed.",Humber River
"In the context of Final project brief for Peacham Crescent slope stabilization, the slope stabilization project follows the class environmental assessment for remedial flood and erosion control projects, which was amended in _.",2013
"In the context of Final project brief for Peacham Crescent slope stabilization, the _ severe weather event triggered significant slumping and slope instability at the peacham crescent site.","July 8, 2013"
"In the context of Final project brief for Peacham Crescent slope stabilization, the _ conducted a slope stability and erosion risk assessment (ss&era) in 2015 for peacham crescent.",Cole Engineering Group Ltd.
"In the context of Final project brief for Peacham Crescent slope stabilization, there are no _ within the project limits, meaning no impact to environmentally significant areas.",Environmentally Significant Areas (ESA)
"In the context of Final project brief for Peacham Crescent slope stabilization, a total of _ trees will be removed under city of toronto guidelines.",180
"In the context of Final project brief for Peacham Crescent slope stabilization, a total of _ trees will be planted as compensation.",408
"In the context of Final project brief for Peacham Crescent slope stabilization, the primary stabilization solution involves constructing a _ retaining structure system with reinforced fill.",Two-tiered
"In the context of Final project brief for Peacham Crescent slope stabilization, the construction access road will utilize the existing _ trail from exbury road.",Asphalt paved
"In the context of Final project brief for Peacham Crescent slope stabilization, construction is tentatively scheduled to begin in _, with completion expected by june 2022.",October 2021
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the _ retained shoreplan engineering limited to develop detailed designs for the humber bay park east major maintenance project.",Toronto and Region Conservation Authority (TRCA)
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the humber bay park east major maintenance project is designed to improve _ and protect park infrastructure.",Shoreline stability
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the primary stabilization solution involves the placement of _-tonne armour stones to enhance the existing revetment structures.",2.0-4.0
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, wave overtopping is a significant concern at humber bay park east, particularly during extreme storms from the _ direction.",East
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the _ model was used to estimate wave heights and energy distribution in the design of shoreline protection measures.",SWAN (Simulating WAves Nearshore)
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the estimated total volume of additional armour stone required for phase i is _ cubic meters.","12,000"
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, all construction activities will be conducted following the _, which regulates environmental protection during in-water work.",Fisheries Act
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the aquatic habitat enhancement component includes placing _-mm riprap along sections of the shoreline.",300-600
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, the construction access route will be established along the _ trail to minimize disruption to park users.",Waterfront
"In the context of Phase I design for shoreline stabilization at Humber Bay Park East, construction for phase i is expected to begin in _, with completion scheduled for summer 2024.",Fall 2023
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the _ retained shoreplan engineering limited to provide engineering services for phase ii of the humber bay park east major maintenance project.",Toronto and Region Conservation Authority (TRCA)
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the humber bay park east major maintenance project consists of _ phases to address shoreline erosion.",Three
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the shoreline at humber bay park east consists of _ headlands separated by a _ facing beach.",Two; southeast
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the _ method was used to estimate extreme water levels for the toronto area.",Gumbel distribution
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the 100-year return period design water level for this project was set at _ meters above the igld 1985 reference.",76.2
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, wave hindcasting was conducted for the _ period from january 1, 1973, to december 31, 2018.",46-year
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the two conceptual approaches to revetment remediation included a complete rebuild of the structure and _.",Supplementing the existing structures with additional armour stone
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the estimated construction cost for phase 1 of the humber bay park east project is _.","$5,500,000"
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the aquatic habitat loss due to phase 1 construction is estimated to be _ square meters.","2,380"
"In the context of Phase II design draft for Humber Bay Park East shoreline protection, the primary stabilization method involves placing additional _-tonne armour stones to enhance the existing revetment structures.",2.0-4.0
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the _ retained shoreplan engineering limited to prepare detailed designs for the humber bay park east major maintenance project.",Toronto and Region Conservation Authority (TRCA)
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the humber bay park east major maintenance project is designed to improve _ and protect park infrastructure.",Shoreline stability
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the primary stabilization solution involves the placement of _-tonne armour stones to enhance the existing revetment structures.",2.0-4.0
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, wave overtopping is a significant concern at humber bay park east, particularly during extreme storms from the _ direction.",East
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the _ model was used to estimate wave heights and energy distribution in the design of shoreline protection measures.",SWAN (Simulating WAves Nearshore)
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the estimated total volume of additional armour stone required for phase i is _ cubic meters.","12,000"
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, all construction activities will be conducted following the _, which regulates environmental protection during in-water work.",Fisheries Act
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the aquatic habitat enhancement component includes placing _-mm riprap along sections of the shoreline.",300-600
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, the construction access route will be established along the _ trail to minimize disruption to park users.",Waterfront
"In the context of Detailed design report for Phase I of Humber Bay Park East stabilization, construction for phase i is expected to begin in _, with completion scheduled for summer 2024.",Fall 2023
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the _ retained shoreplan engineering limited to prepare detailed designs for phase ii of the humber bay park east major maintenance project.",Toronto and Region Conservation Authority (TRCA)
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the primary stabilization solution involves the placement of _-tonne armour stones to enhance the existing revetment structures.",2.0-4.0
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the _ model was used to estimate wave heights and energy distribution in the design of shoreline protection measures.",SWAN (Simulating WAves Nearshore)
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the estimated total volume of additional armour stone required for phase ii is _ cubic meters.","12,000"
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the aquatic habitat enhancement component includes placing _-mm riprap along sections of the shoreline.",300-600
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the construction access route will be established along the _ trail to minimize disruption to park users.",Waterfront
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the estimated construction cost for phase ii is _.","$5,500,000"
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, construction for phase ii is expected to begin in _, based on funding and approvals.",Late Spring 2023
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, the project is focused on reinforcing shoreline stability and reducing risks from _.",Erosion and wave action
"In the context of Detailed design report for Phase II of Humber Bay Park East stabilization, all construction activities will be conducted in compliance with the _, ensuring protection of the aquatic habitat.",Fisheries Act
"In the context of Project details for erosion control and sanitary protection at German Mills, the toronto and region conservation authority (trca) partners with the regional municipality of _ to implement emergency maintenance for sanitary protection works.",York
"In the context of Project details for erosion control and sanitary protection at German Mills, one of the key issues identified in the german mills settlers park project is that creek _ and migration is at risk of exposing sanitary infrastructure.",Erosion
"In the context of Project details for erosion control and sanitary protection at German Mills, the proposed solutions for erosion control at peacham crescent include repair in place, channel realignment, and channel realignment with _ extension.",Bridge
"In the context of Project details for erosion control and sanitary protection at German Mills, the detailed design development for the german mills project was planned to take place in _, following the issuance of the notice of completion.",2019
"In the context of Project details for erosion control and sanitary protection at German Mills, the class environmental assessment process being conducted for peacham crescent follows schedule _ of the municipal class ea framework.",B
"In the context of Project details for erosion control and sanitary protection at German Mills, one of the proposed project concepts at german mills park includes shifting the _ alignment underneath the pedestrian bridge to reduce meander angle.",Channel
"In the context of Project details for erosion control and sanitary protection at German Mills, a significant limitation for the peacham crescent project is that implementation depends on the availability of _ and necessary approvals.",Budget
"In the context of Project details for erosion control and sanitary protection at German Mills, a geomorphic study conducted in _ identified the need for a channel realignment as a long-term strategy for sanitary infrastructure protection.",2015
"In the context of Project details for erosion control and sanitary protection at German Mills, in 2018, storm events exposed the _ sewer adjacent to german mills creek, leading to the need for emergency maintenance.",Sanitary
"In the context of Project details for erosion control and sanitary protection at German Mills, the city is responsible for funding capital and maintenance costs for city-owned assets such as the _ and trail components.",Bridge
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the humber bay park east shoreline maintenance project focuses on protecting the shoreline along the north shore of _.",Lake Ontario
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the toronto and region conservation authority (trca) owns the land at humber bay park, but the _ is responsible for its maintenance and administration.",City of Toronto
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the project is divided into three phases, with phase i focusing on the _ armourstone headland.",Eastern
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the humber bay park shoreline structures were built in the early _ and are now in various states of disrepair.",1980s
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the environmental risk management program (ermp) has monitored the park’s shoreline erosion control structures since _.",2006
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the western armourstone headland (wf11.10) has a structural stability rating of _ due to material displacement and voids forming between stones.",Failing
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, a major cause of shoreline instability at humber bay park is _, which has led to the displacement of stones and scouring along the backshore.",Wave overtopping
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, phase i of the project includes the placement of _-tonne armour stones to strengthen the shoreline and prevent further erosion.",2-4
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, the project’s restoration efforts include planting at least _ trees to compensate for the removal of existing vegetation.",327
"In the context of Project brief for Phase I of Humber Bay Park East shoreline maintenance, construction for phase i is scheduled to begin in _, with completion expected by spring 2023.",November 2021
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the _ retained shoreplan engineering limited to provide engineering services for phase ii of the humber bay park east major maintenance project.",Toronto and Region Conservation Authority (TRCA)
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the humber bay park east shoreline maintenance project focuses on protecting the shoreline along the north shore of _.",Lake Ontario
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the project has been divided into _ phases to address different areas of shoreline erosion and maintenance needs.",Three
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, phase ii focuses on repairs to the _, which has been classified as 'failing' due to material displacement and scouring.",Western Armourstone Headland (WF11.10)
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the humber bay park shoreline structures were built in the early _ and have since deteriorated due to extreme weather events.",1980s
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the environmental risk management program (ermp) has monitored the park’s shoreline erosion control structures since _.",2006
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, a major cause of shoreline instability at humber bay park is _, which has led to the displacement of stones and scouring along the backshore.",Wave overtopping
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the primary stabilization solution for phase ii includes placing _-tonne armour stones to enhance the existing revetment structures.",2-4
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, the pond outlet area will be rehabilitated using an _ berm to formalize drainage and protect the adjacent shoreline.",Armourstone
"In the context of Project brief for Phase II of Humber Bay Park East shoreline maintenance, construction for phase ii is scheduled to begin in _.",Late Spring 2023
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, humber bay park is a waterfront park located at the mouth of _ on the north shore of lake ontario.",Mimico Creek
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the park consists of two peninsulas, humber bay park east and _, which extend into lake ontario.",Humber Bay Park West
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the toronto and region conservation authority (trca) has monitored the park’s erosion control structures through the _ program since 2006.",Erosion Risk Management Program (ERMP)
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the western armourstone headland (wf11.10) is currently classified as in overall _ condition, but with a structural stability rating of 'failing..",Fair
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the comprehensive assessment of trca-owned shoreline erosion control structures was conducted by _ engineering limited in 2016.",Riggs
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the humber bay park erosion control structures were originally built in the early _ to protect the shoreline from erosion.",1980s
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, a major source of shoreline damage at humber bay park was the _ windstorm event on april 14-15, 2018.",High lake level
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the baseline environmental inventory found that the most common fish species in the area include alewives, white suckers, and _.",Rainbow Smelt
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the concept designs for erosion control structures at humber bay park were developed using a design water level of _ meters above sea level.",75.8
"In the context of Conceptual design plans for Humber Bay Park East shoreline improvements, the _ at the eastern extent of wf11.10 will help manage drainage from the park’s pond into lake ontario.",Armourstone berm
